"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat"
"3254","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2025,4566.2018,-5.58442000000005,-3.58532,4.7059999999999,253.3916,"Yes"
"3255","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2030,4224.7479,-2.74016000000001,0.266220000000021,2.94088000000006,249.1874,"Yes"
"3256","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2035,4304.0187,-5.93822,1.18679999999999,1.7866199999999,301.5269,"Yes"
"3257","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2040,3963.036,-22.01956,1.30193999999997,-8.24703999999988,378.5268,"Yes"
"3259","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2050,-2713.6459,-20.97246,4.61008000000002,-1.64201999999986,611.3778,"Yes"
"3260","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2015,3551.8594,-4.20484000000006,7.59414000000002,3.4378799999999,1.8241,"Yes"
"3267","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_uniform-pricing_def",2050,-1952.5976,-17.8549,1.00790000000002,-8.81515999999997,164.4161,"Yes"
"3268","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2015,3581.2016,-4.30724,7.37836000000002,2.54726000000005,1.2159,"Yes"
"3272","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2035,4714.6817,-2.06482000000005,6.22754000000004,-1.33591999999999,0,"No"
"3273","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2040,4522.2472,-4.87817999999997,6.27883999999999,-5.25716000000007,0,"No"
"3274","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2045,3752.6498,-6.28094000000001,6.99361999999996,-3.05895999999998,0,"No"
"3275","REMIND-MAgPIE 2.0-4.1","Diff_No-policy_baseline",2050,3023.2961,-9.51376,7.68182000000002,-3.76399999999999,0,"No"
"3544","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600_COV",2035,-98.7886,-2.61575999999995,2.45956000000001,-0.0488799999998717,2037.1166,"Yes"
"3545","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600_COV",2040,84.2427,-13.72616,13.80322,0.252880000000003,2600.0009,"Yes"
"3553","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600_COV_NDCp",2040,148.3871,-13.0693,13.10162,0.208140000000002,2155.7329,"Yes"
"3592","REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_700",2035,3844.2268,-7.46912000000002,7.16813999999999,-0.0445799999999961,960.6276,"Yes"
"4088","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2035,5494.5743,-0.457799999999952,14.16948,2.40930000000003,0,"No"
